"Model","Case","Intent","Input","Reply"
"llama-4-scout","English (Meeting)","question","Can we talk at 4pm?","Aapne pehle bhi yeh sawal kiya tha. Avar thoda busy hain; main unhe bolunga."
"llama-4-scout","Tanglish (Casual)","question","Enna da panra? Cinema polama?","Aapne pehle bhi yeh sawal kiya tha. Avar thoda busy hain; main unhe bolunga."
"llama-4-scout","Hinglish (Check-in)","question","Kya haal hai? Aaj sham ko milte hain?","Aapne pehle bhi yeh sawal kiya tha. Avar thoda busy hain; main unhe bolunga."
"gpt-4o-mini","English (Meeting)","question","Can we talk at 4pm?","Aapne pehle bhi yeh sawal kiya tha. Avar thoda busy hain; main unhe bolunga."
"gpt-4o-mini","Tanglish (Casual)","question","Enna da panra? Cinema polama?","Aapne pehle bhi yeh sawal kiya tha. Avar thoda busy hain; main unhe bolunga."
"gpt-4o-mini","Hinglish (Check-in)","question","Kya haal hai? Aaj sham ko milte hain?","Aapne pehle bhi yeh sawal kiya tha. Avar thoda busy hain; main unhe bolunga."
"llama-3-70b-instruct","English (Meeting)","question","Can we talk at 4pm?","Avar 4 pm-la meet pannika mudiyadhu; avar solluvaaru."
"llama-3-70b-instruct","Tanglish (Casual)","question","Enna da panra? Cinema polama?","Avar cinema-la poi irukkara; avar 4 pm-la meet pannika mudiyadhu; avar solluvaaru."
"llama-3-70b-instruct","Hinglish (Check-in)","question","Kya haal hai? Aaj sham ko milte hain?","Aapko pata hai, woh abhi cinema mein hain aur 4 pm ka samay bataya tha meeting ke liye; wo bolenge."
"google/gemma-2-9b-it","English (Meeting)","question","Can we talk at 4pm?","Avar cinema-la poi irukkara; avar 4 pm-la meet pannika mudiyadhu; avar solluvaaru."
"google/gemma-2-9b-it","Tanglish (Casual)","question","Enna da panra? Cinema polama?","Avar cinema-la poi irukkara; avar 4 pm-la meet pannika mudiyadhu; avar solluvaaru."
"google/gemma-2-9b-it","Hinglish (Check-in)","question","Kya haal hai? Aaj sham ko milte hain?","Aapko pata hai, woh abhi cinema mein hain aur 4 pm ka samay bataya tha meeting ke liye; wo bolenge."
